code;title;short_title;un_rep;ec_dis;graph2;chord;pop_total;pop_unknown;pop_self;pop_wo_unk;capital;lat;lon
173;г. Душанбе;г. Душанбе;Таджикская ССР;Среднеазиатский;Таджикская ССР;Среднеазиатский;601501;3856;248407;597645;г. Душанбе;38.573056;68.786389
174;Кулябская область и Курган-Тюбинская область;Кулябская и Курган-Тюбинская;Таджикская ССР;Среднеазиатский;Таджикская ССР;Среднеазиатский;619066;378;600234;618688;г. Куляб;37.911944;69.780833
175;Ленинабадская область;Ленинабадская;Таджикская ССР;Среднеазиатский;Таджикская ССР;Среднеазиатский;1554145;1229;1423816;1552916;г. Ленинабад;40.284167;69.619167
176;Армянская ССР (ост.);Армянская (ост.);Армянская ССР;Закавказский;Армянская ССР;Закавказский;2163784;439475;1578093;1724309;г. Ереван;40.183333;44.516667
177;г. Ереван;г. Ереван;Армянская ССР;Закавказский;Армянская ССР;Закавказский;1140992;27756;629056;1113236;г. Ереван;40.183333;44.516667
178;Туркменская ССР (ост.);Туркменская (ост.);Туркменская ССР;Среднеазиатский;Туркменская ССР;Среднеазиатский;878267;2024;765707;876243;г. Ашхабад;37.95;58.383333
179;г. Ашхабад;г. Ашхабад;Туркменская ССР;Среднеазиатский;Туркменская ССР;Среднеазиатский;403238;1464;213280;401774;г. Ашхабад;37.95;58.383333
180;Марыйская область;Марыйская;Туркменская ССР;Среднеазиатский;Туркменская ССР;Среднеазиатский;811840;2347;736125;809493;г. Мары;37.6;61.833333
181;Ташаузская область;Ташаузская;Туркменская ССР;Среднеазиатский;Туркменская ССР;Среднеазиатский;696552;73;668861;696479;г. Ташауз;41.816667;59.970833
182;Чарджоуская область;Чарджоуская;Туркменская ССР;Среднеазиатский;Туркменская ССР;Среднеазиатский;732820;1173;654807;731647;г. Чарджоу;39.1;63.566667
183;Эстонская ССР (ост.);Эстонская (ост.);Эстонская ССР;Прибалтийский;Эстонская ССР;Прибалтийский;1066241;4257;792471;1061984;г. Таллинн;59.433333;24.75
184;г. Таллинн;г. Таллинн;Эстонская ССР;Прибалтийский;Эстонская ССР;Прибалтийский;499421;3862;203156;495559;г. Таллинн;59.433333;24.75
185;Заграница и не указавшие место рождения;Загран. и не указ.;Заграница;Заграница;Заграница;Заграница;;;;0;;;
