code;title;short_title;un_rep;ec_dis;graph2;chord;pop_total;pop_unknown;pop_self;pop_wo_unk;capital;lat;lon
40;Горьковская область (ныне Нижегородская);Горьковская;РСФСР;Волго-Вятский;Волго-Вятский;РСФСР;3719614;26762;3094534;3692852;г. Горький (ныне г. Нижний Новгород);56.326944;44.0075
41;Ивановская область;Ивановская;РСФСР;Центральный;Центральный;РСФСР;1313627;9998;1009044;1303629;г. Иваново;56.996667;40.981944
42;Усть-Ордынский Бурятский АО;Усть-Ордынский;РСФСР;Восточно-Сибирский;Восточно-Сибирский;РСФСР;135870;536;92819;135334;рп Усть-Ордынский;52.805556;104.762222
43;Иркутская область (без АО);Иркутская;РСФСР;Восточно-Сибирский;Восточно-Сибирский;РСФСР;2689050;20647;1721983;2668403;г. Иркутск;52.283333;104.3
44;Калининградская область;Калининградская;РСФСР;Прибалтийский;Прибалтийский;РСФСР;871159;12805;359173;858354;г. Калининград;54.716667;20.50000
45;Калининская область (ныне Тверская);Калининская;РСФСР;Центральный;Центральный;РСФСР;1663122;13058;1258073;1650064;г. Калинин (ныне г. Тверь);56.857828;35.921928
46;Калужская область;Калужская;РСФСР;Центральный;Центральный;РСФСР;1064194;5864;739252;1058330;г. Калуга;54.533333;36.266667
47;Корякский АО;Корякский;РСФСР;Дальневосточный;Дальневосточный;РСФСР;39940;113;2384;39827;рп Палана;59.084167;159.950278
48;Камчатская область (без АО);Камчатская;РСФСР;Дальневосточный;Дальневосточный;РСФСР;431992;2707;157603;429285;г. Петропавловск-Камчатский;53.016667;158.65
49;Кемеровская область;Кемеровская;РСФСР;Западно-Сибирский;Западно-Сибирский;РСФСР;3171134;17392;2034257;3153742;г. Кемерово;55.354167;86.089722
50;Кировская область;Кировская;РСФСР;Волго-Вятский;Волго-Вятский;РСФСР;1694008;2407;1383901;1691601;г. Киров;58.6;49.65
51;Костромская область;Костромская;РСФСР;Центральный;Центральный;РСФСР;804296;1525;638789;802771;г. Кострома;57.766667;40.933333
52;Куйбышевская область (ныне Самарская);Куйбышевская;РСФСР;Поволжский;Поволжский;РСФСР;3262906;28405;2095146;3234501;г. Куйбышев (ныне г. Самара);53.183333;50.116667
53;Курганская область;Курганская;РСФСР;Уральский;Уральский;РСФСР;1103665;4421;873904;1099244;г. Курган;55.440833;65.341111
54;Курская область;Курская;РСФСР;Центральночернозёмный;Центральночернозёмный;РСФСР;1335428;2139;1134950;1333289;г. Курск;51.716667;36.183333
55;г. Ленинград;г. Ленинград;РСФСР;Северо-Западный;Ленинград;РСФСР;4990749;71828;2501157;4918921;г. Ленинград;59.95;30.316667
56;Ленинградская область;Ленинградская;РСФСР;Северо-Западный;Северо-Западный;РСФСР;1653723;17799;768872;1635924;г. Ленинград;59.95;30.316667
57;Липецкая область;Липецкая;РСФСР;Центральночернозёмный;Центральночернозёмный;РСФСР;1230174;2673;987193;1227501;г. Липецк;52.616667;39.6
58;Магаданская область (без АО);Магаданская;РСФСР;Дальневосточный;Дальневосточный;РСФСР;391687;2235;114422;389452;г. Магадан;59.566667;150.8
59;Чукотский АО;Чукотский;РСФСР;Дальневосточный;Дальневосточный;РСФСР;163934;1103;37000;162831;г. Анадырь;64.733333;177.516667
60;г. Москва;г. Москва;РСФСР;Центральный;Москва;РСФСР;8875579;99847;4703740;8775732;г. Москва;55.755833;37.617778
61;Московская область;Московская;РСФСР;Центральный;Московская обл.;РСФСР;6646356;123578;3815679;6522778;г. Москва;55.755833;37.617778
62;Мурманская область;Мурманская;РСФСР;Северный;Северный;РСФСР;1164586;8348;436636;1156238;г. Мурманск;68.966667;33.083333
63;Новгородская область;Новгородская;РСФСР;Северо-Западный;Северо-Западный;РСФСР;751555;4512;552139;747043;г. Новгород;58.525;31.275
64;Новосибирская область;Новосибирская;РСФСР;Западно-Сибирский;Западно-Сибирский;РСФСР;2778724;14970;1968821;2763754;г. Новосибирск;55.016667;82.916667
65;Омская область;Омская;РСФСР;Западно-Сибирский;Западно-Сибирский;РСФСР;2141909;13217;1643446;2128692;г. Омск;54.966667;73.383333
66;Оренбургская область;Оренбургская;РСФСР;Уральский;Уральский;РСФСР;2170692;8850;1676573;2161842;г. Оренбург;51.766667;55.1
67;Орловская область;Орловская;РСФСР;Центральный;Центральный;РСФСР;889056;4840;736542;884216;г. Орел;52.966667;36.083333
68;Пензенская область;Пензенская;РСФСР;Поволжский;Поволжский;РСФСР;1504569;5849;1299783;1498720;г. Пенза;53.2;45
69;Коми-Пермяцкий АО;Коми-Пермяцкий;РСФСР;Уральский;Уральский;РСФСР;158526;1578;120414;156948;г. Кудымкар;59.016667;54.666667
70;Пермская область (без АО);Пермская;РСФСР;Уральский;Уральский;РСФСР;2932955;28515;2173680;2904440;г. Пермь;58.013889;56.248889
71;Псковская область;Псковская;РСФСР;Северо-Западный;Северо-Западный;РСФСР;845291;7151;638995;838140;г. Псков;57.816667;28.333333
