origin;destination;year;migrants
1103;2110;2015;1
1103;2118;2015;1
1103;2121;2015;1
1103;2127;2015;296
1103;2129;2015;2
1103;2137;2015;3
1103;2142;2015;2
1103;2143;2015;2
1103;2150;2015;2
1103;2152;2015;2
1103;2157;2015;1
1103;2159;2015;1
1103;2170;2015;7
1103;2176;2015;29
1103;2178;2015;9
1103;2181;2015;7
1103;2182;2015;38
1103;2189;2015;149
1103;2190;2015;5
1103;2199;2015;45
1103;2200;2015;72
1103;2202;2015;435
1103;2203;2015;1262
1103;2209;2015;1
1103;2211;2015;7
1103;2215;2015;1
1103;2218;2015;1
1103;2219;2015;10
1103;2221;2015;1
1103;2222;2015;3
1103;2230;2015;14
1103;2233;2015;3
1103;2250;2015;1409
1104;2001;2015;2
1104;2002;2015;13
1104;2003;2015;1
1104;2004;2015;475
1104;2014;2015;222
1104;2021;2015;103
1104;2026;2015;6
1104;2037;2015;1
1104;2038;2015;1
1104;2041;2015;11
1104;2051;2015;118
1104;2059;2015;37
1104;2069;2015;14
1104;2071;2015;1
1104;2078;2015;3
1104;2081;2015;617
1104;2084;2015;6
1104;2088;2015;317
1104;2090;2015;191
1104;2091;2015;1
1104;2095;2015;122
1104;2102;2015;5
1104;2107;2015;5
1104;2127;2015;36
1104;2137;2015;3
1104;2140;2015;1
1104;2142;2015;3
1104;2180;2015;1
1104;2181;2015;5
1104;2182;2015;28
1104;2189;2015;849
1104;2190;2015;2
1104;2199;2015;2
1104;2200;2015;1
1104;2202;2015;662
1104;2203;2015;767
1104;2209;2015;2
1104;2211;2015;4
1104;2218;2015;2
1104;2219;2015;5
1104;2221;2015;1
1104;2222;2015;1
1104;2230;2015;1
1104;2232;2015;7
1104;2250;2015;605
1105;2002;2015;6
1105;2003;2015;1
1105;2004;2015;151
1105;2005;2015;1
1105;2014;2015;589
1105;2018;2015;1
1105;2021;2015;40
1105;2023;2015;1
1105;2026;2015;1
1105;2027;2015;1
1105;2038;2015;1
1105;2041;2015;72
1105;2051;2015;16
1105;2059;2015;16
1105;2061;2015;3
1105;2065;2015;1
1105;2069;2015;15
1105;2070;2015;1
1105;2071;2015;90
1105;2077;2015;6
1105;2078;2015;1
1105;2081;2015;151
1105;2084;2015;31
1105;2088;2015;424
1105;2090;2015;1161
1105;2091;2015;1
1105;2095;2015;3250
1105;2096;2015;91
1105;2100;2015;1
1105;2101;2015;2
1105;2102;2015;13
1105;2107;2015;1
1105;2116;2015;1
1105;2119;2015;1
1105;2127;2015;61
1105;2129;2015;2
1105;2137;2015;1
1105;2139;2015;1
1105;2140;2015;19
1105;2164;2015;1
1105;2176;2015;3
1105;2178;2015;2
1105;2179;2015;1
1105;2181;2015;9
1105;2182;2015;36
1105;2189;2015;499
1105;2190;2015;3
1105;2199;2015;7
1105;2200;2015;4
1105;2202;2015;1892
1105;2203;2015;865
1105;2208;2015;2
1105;2209;2015;1
1105;2211;2015;4
1105;2219;2015;3
1105;2220;2015;1
1105;2222;2015;1
1105;2224;2015;2
1105;2230;2015;5
1105;2236;2015;62
1105;2250;2015;4950
1107;2001;2015;19
1107;2002;2015;3
1107;2003;2015;1
1107;2004;2015;432
1107;2013;2015;1
1107;2014;2015;1998
1107;2016;2015;46
1107;2021;2015;20
1107;2022;2015;1
1107;2023;2015;2
1107;2026;2015;5
1107;2041;2015;18
1107;2051;2015;103
1107;2058;2015;60
1107;2059;2015;259
1107;2061;2015;1
1107;2065;2015;2
1107;2069;2015;9
1107;2070;2015;2
1107;2072;2015;1
1107;2073;2015;1
1107;2077;2015;2
1107;2078;2015;6
1107;2081;2015;287
1107;2084;2015;10
1107;2087;2015;4
1107;2088;2015;80
1107;2090;2015;2
1107;2096;2015;3
1107;2099;2015;1
1107;2102;2015;11
1107;2105;2015;2
1107;2107;2015;4
1107;2127;2015;76
1107;2137;2015;3
1107;2142;2015;3
1107;2150;2015;1
1107;2159;2015;1
1107;2178;2015;6
1107;2180;2015;1
1107;2181;2015;4
1107;2182;2015;25
1107;2189;2015;128
1107;2199;2015;25
1107;2200;2015;23
1107;2202;2015;347
1107;2203;2015;495
1107;2209;2015;3
1107;2211;2015;3
1107;2218;2015;2
1107;2219;2015;3
1107;2221;2015;1
1107;2222;2015;3
1107;2230;2015;5
1107;2250;2015;666
1108;2002;2015;5
1108;2004;2015;127
1108;2005;2015;1
1108;2007;2015;1
1108;2011;2015;1
1108;2013;2015;1
1108;2014;2015;472
1108;2021;2015;35
1108;2026;2015;4
1108;2031;2015;3
1108;2038;2015;3
1108;2040;2015;2
1108;2041;2015;648
1108;2051;2015;8
1108;2055;2015;1
1108;2058;2015;4
1108;2059;2015;16
1108;2069;2015;37
1108;2070;2015;1
1108;2071;2015;1
1108;2072;2015;1
1108;2075;2015;2
1108;2077;2015;10
1108;2078;2015;6
1108;2081;2015;128
1108;2084;2015;11
1108;2087;2015;6
1108;2088;2015;326
1108;2090;2015;2637
1108;2095;2015;596
1108;2096;2015;228
1108;2099;2015;1
1108;2107;2015;4
1108;2116;2015;3
1108;2127;2015;22
1108;2137;2015;1
1108;2140;2015;5
1108;2143;2015;1
1108;2157;2015;1
1108;2159;2015;2
1108;2176;2015;5
1108;2177;2015;1
1108;2180;2015;2
1108;2181;2015;3
1108;2182;2015;41
1108;2189;2015;538
1108;2190;2015;5
1108;2199;2015;3
1108;2200;2015;33
1108;2202;2015;1264
1108;2203;2015;659
1108;2211;2015;4
1108;2221;2015;1
1108;2222;2015;7
1108;2227;2015;1
1108;2230;2015;1
1108;2233;2015;2
1108;2236;2015;37
1108;2250;2015;4395
1110;2002;2015;4
1110;2004;2015;19
1110;2007;2015;2
1110;2014;2015;68
1110;2021;2015;15
1110;2023;2015;1
1110;2041;2015;6
1110;2051;2015;3
1110;2058;2015;1
1110;2059;2015;2
1110;2069;2015;2
1110;2077;2015;4
1110;2081;2015;18
1110;2082;2015;2
1110;2084;2015;2
1110;2088;2015;466
1110;2090;2015;1809
1110;2095;2015;546
1110;2107;2015;2
1110;2117;2015;12
1110;2127;2015;12
1110;2129;2015;1
1110;2140;2015;1
1110;2150;2015;1
1110;2152;2015;1
1110;2182;2015;6
1110;2189;2015;50
1110;2190;2015;1
1110;2199;2015;3
1110;2202;2015;282
1110;2203;2015;42
1110;2209;2015;1
1110;2211;2015;2
1110;2236;2015;1
1110;2250;2015;2413
1112;2001;2015;5
1112;2002;2015;4
1112;2004;2015;1392
1112;2006;2015;2
1112;2009;2015;5
1112;2014;2015;134
1112;2018;2015;4
1112;2021;2015;65
1112;2023;2015;2
1112;2024;2015;3
1112;2028;2015;8
1112;2029;2015;4
1112;2030;2015;1
1112;2038;2015;3
1112;2040;2015;2
1112;2041;2015;118
1112;2046;2015;27
1112;2050;2015;20
1112;2051;2015;18
1112;2059;2015;16
1112;2065;2015;11
1112;2066;2015;37
1112;2068;2015;18
1112;2069;2015;5
1112;2070;2015;36
1112;2071;2015;3
1112;2073;2015;5
1112;2074;2015;145
1112;2077;2015;3
1112;2078;2015;48
1112;2081;2015;832
1112;2083;2015;8
1112;2084;2015;2
1112;2086;2015;1
1112;2088;2015;110
1112;2090;2015;8
1112;2093;2015;12
1112;2094;2015;1
1112;2098;2015;23
1112;2099;2015;2
1112;2102;2015;1
1112;2107;2015;7
1112;2111;2015;2
1112;2115;2015;1
1112;2121;2015;300
1112;2126;2015;6
1112;2127;2015;81
1112;2132;2015;25
1112;2135;2015;3
1112;2137;2015;8
1112;2142;2015;1
1112;2152;2015;3
1112;2157;2015;3
1112;2159;2015;4
1112;2160;2015;1
1112;2164;2015;6
1112;2168;2015;2
1112;2173;2015;8
1112;2176;2015;81
1112;2178;2015;15
1112;2179;2015;2
1112;2181;2015;7
1112;2182;2015;16
1112;2185;2015;4
1112;2185;2015;4
1112;2189;2015;466
1112;2190;2015;7
1112;2198;2015;94
1112;2199;2015;437
1112;2200;2015;125
1112;2202;2015;3278
1112;2203;2015;1766
1112;2208;2015;7
1112;2211;2015;3
1112;2215;2015;8
1112;2217;2015;6
1112;2218;2015;1
1112;2221;2015;2
1112;2225;2015;4
1112;2229;2015;1
1112;2231;2015;1
1112;2236;2015;8
1112;2250;2015;1383
1114;2001;2015;3
1114;2004;2015;58
1114;2014;2015;170
1114;2016;2015;3
1114;2021;2015;21
1114;2026;2015;16
1114;2028;2015;2
1114;2051;2015;35
1114;2058;2015;2
1114;2059;2015;15
1114;2065;2015;1
1114;2069;2015;5
1114;2075;2015;1
1114;2077;2015;1
1114;2078;2015;2
1114;2079;2015;2
1114;2080;2015;1
1114;2081;2015;767
1114;2084;2015;6
1114;2088;2015;295
1114;2099;2015;1
1114;2102;2015;5
1114;2107;2015;3
1114;2121;2015;2
1114;2127;2015;167
1114;2152;2015;2
1114;2159;2015;1
1114;2160;2015;1
1114;2178;2015;2
1114;2181;2015;2
1114;2182;2015;6
1114;2189;2015;37
1114;2198;2015;1
1114;2199;2015;13
1114;2200;2015;4
1114;2202;2015;188
1114;2203;2015;1153
1114;2211;2015;3
