code;title;soviet_title;fed_district;short_title;soviet_short_title;short_title_en;code_en;popul1989;popul2002;popul2010;popul2021;chord;lat;lon
1152;Омская область;Омская область;Сибирский ФО;Омская;Омская;Omsk;OMS;2140336;2079220;1977665;1858798;12;55.1054517753493;73.3596303757407
1169;Томская область;Томская область;Сибирский ФО;Томская;Томская;Tomsk;TOM;1001613;1046039;1047394;1062666;12;56.9353310557165;84.4290156795474
1181;Республика Бурятия;Бурятская АССР;Дальневосточный ФО;Бурятия;Бурятская;Buryatia;BUR;1041119;981238;972021;978588;13;51.9523802185317;107.542377650121
1198;Республика Саха (Якутия);Якутская АССР;Дальневосточный ФО;Якутия;Якутская;Sakha (Yakutia);SAH;1081408;949280;958528;995686;13;62.1454602494355;126.873697697118
1176;Забайкальский край;Читинская область;Дальневосточный ФО;Забайкальский;Читинская;Zabaykalsky;ZAB;1377975;1155346;1107107;1004125;13;51.6143441280438;114.53868689635
1130;Камчатский край;Камчатская область;Дальневосточный ФО;Камчатский;Камчатская;Kamchatka;KAM;466096;358801;322079;291705;13;53.5570982216473;158.773881753371
1105;Приморский край;Приморский край;Дальневосточный ФО;Приморский;Приморский;Primorsky;PRI;2258391;2071210;1956497;1845165;13;43.6660667727121;132.517542793214
1108;Хабаровский край;Хабаровский край без АО;Дальневосточный ФО;Хабаровский;Хабаровский;Khabarovsk;HAB;1608569;1436570;1343869;1292944;13;49.2886101598649;136.015763841783
1110;Амурская область;Амурская область;Дальневосточный ФО;Амурская;Амурская;Amur;AMU;1057781;902844;830103;766912;13;51.1624079956704;127.793666527766
1144;Магаданская область;Магаданская область без АО;Дальневосточный ФО;Магаданская;Магаданская;Magadan;MAG;385340;182726;156996;136085;13;60.140733648492;150.922727225905
1164;Сахалинская область;Сахалинская область;Дальневосточный ФО;Сахалинская;Сахалинская;Sakhalin;SHL;709629;546695;497973;466609;13;47.7668146059522;142.861567441003
1199;Еврейская автономная область;Еврейская автономная область;Дальневосточный ФО;Еврейская;Еврейская;Jewish;EAO;215937;190915;176558;150453;13;48.6241053617752;132.781154890191
1177;Чукотский автономный округ;Чукотский автономный округ;Дальневосточный ФО;ЧАО;Чукотский;Chukotka;CHK;157528;53824;50526;47490;13;65.9449122871616;179.954388345053
